likes,body,url
48,"1- Создание простого микросервиса с помощью Python, сокеты и конкурентность 
 2- «Обработка и визуализация геоданных» 
 3- «Продвинутый async/await в Python 3.5» 
 4- «Обмен данными между процессами python» 
 5- «ProZorro OpenData Mashups» 
 6- «Dependency injections и валидация в Python» 
 7- How to implement binary protocols for databases and message queues with asyncio 
  
 #video   
  
 
 #video@php2all  больше видео в нашем каталоге https://vk.com/videos-3183750",pass
18,,pass
16,,pass
25,"Основные инструкции ассемблера 
 00. Основные инструкции ассемблера. Введение. 
 01. Основные инструкции ассемблера. Инструкция mov. 
 02. Основные инструкции ассемблера. Инструкции inc, dec, add, sub. 
 03. Основные инструкции ассемблера. Сравнение и условные переходы 
 04. Основные инструкции ассемблера. Инструкция LEA 
 05. Основные инструкции ассемблера. Инструкция xchg 
 06. Основные инструкции ассемблера. Побитовые операции 
 07. Основные инструкции ассемблера. Инструкции movsx и movzx 
 08. Основные инструкции ассемблера. Инструкции imul и mul 
 09. Основные инструкции ассемблера. Инструкции push, pop, pushad, popad, pushf, popf 
 #asm   #ассемблер   
  
 
 #video@php2all  ( видеокурсы в альбоме https://vk.com/videos-3183750 )",pass
49,"SQL для простых смертных 
 
 Автор: Мартин Грабер 
 Год: 2014 
 
 Описание: 
 SQL ДЛЯ ПРОСТЫХ СМЕРТНЫХ — это полное введение в структурированный язык запросов, написанное специально для начинающих. Если вы не имеете опыта управления базами данных, благодаря этой книге вы научитесь работать с SQL легко и свободно, применяя простые запросы и сложные операции. Для овладения SQL: 
 Усвойте смысл понятий, связанных с управлением базой данных, с помощью краткого и простого введения в реляционные базы данных. 
 Следуйте данным инструкциям по применению основных команд SQL для поиска размещенной в таблицах данных информации и работы с ней. Научитесь выбирать и суммировать данные, а также умело ими управлять. 
 Эффективно работайте с составными таблицами данных, применяя развитую технику запроса к более чем одной таблице одновременно, конструируя сложные запросы и подзапросы. 
 Создавайте новые таблицы данных для приложений в сфере торгового бизнеса. Изучайте важные принципы эффективного проектирования базы данных и технику обеспечения целостности и защиты данных. 
 Учитесь применять SQL с языками программирования, используя специальную главу для программистов. 
 SQL ДЛЯ ПРОСТЫХ СМЕРТНЫХ является необходимым руководством для любой реализации языка структурированных запросов, в которое включены краткий справочник по стандартному SQL и описание общих свойств нестандартного SQL. 
 
 #book@php2all #sql@php2all 
 
 (Больше книг тут https://vk.com/php2all/book )",pass
28,,pass
18,"#book   #cpp   
  
 
 #video@php2all  ( видеокурсы в альбоме https://vk.com/videos-3183750 )",pass
9,Исправляешь сразу несколько багов одним коммитом в несколько строк.,pass
29,"Курс по TypeScript часть 1

#1 Введение и настройка окружения
#2 Основные типы данных 
#3 Сигнатура и перегрузка функций
#4 Приведение, объединение и пересечение типов данных
#5 Массивы, кортежи и перечисления
#6 Классы
#7 Наследование классов
#8 Реализация интерфейсов
#9 Абстрактные классы
#10 Модификаторы доступа",pass
8,"Интенсив-практикум «Pentesting: Level 0»🔥

Получите опыт проведения анализа и тестирование защищенности программ, операционных систем и веб-приложений, а также опыт атак на корпоративные инфраструктуры. 

За 4 дня вы научитесь:
- Сканировать локальные сети, узлы в сети Интернет и анализ полученного результата.
- Обнаруживать ряд уязвимостей в веб-приложениях, программах, операционных системах и почтовых серверах.
- Подбирать эксплойты к программному обеспечению с целью тестирования безопасности.
- Эксплуатировать уязвимости через программы для тестирования.

Интенсив ведет: Егор Богомолов, 200+ успешных проектов в таких компаниях как ""Информзащита"", ""Бизон"" и ""Валарм"".

Читайте подробности и оставляйте заявку на сайте: https://vk.cc/avACIl",pass
54,Рабочая клавиатура после карантина,pass
22,"Подборка из хороших книг для повышения скилла 
 #book@php2all 
  
  (литература по программированию https://vk.com/php2all/book )",pass
19,"JavaScript 
 0⃣ Introduction 
 1⃣Functions and more Canvas 
 2⃣Running functions on an Interval with setInterval 
 3⃣Conditionals (if statement) 
 4⃣Object Oriented Programming in js 
 5⃣For Loops 
 #video   #js   
  
 
 #video@php2all  больше видео в нашем каталоге https://vk.com/videos-3183750",pass
11,"Lucinda #otf #латиница (Free font) 
 Set of 2 fonts. 
 Автор - Stephen French",pass
98,,pass
7,"Heading-Pro #ttf #кириллица #латиница (Free for personal use) 
 Set of 32 fonts. 
 Автор - Francesco Canovaro",pass
94,,pass
58,"Разработка игр на языке JavaScript 
 
 Автор: Сергей Алексеевич Беляев 
 Год: 2016 
 
 Описание: 
 Учебное пособие рассматривает ключевые вопросы разработки однопользовательских двумерных игр на языке JavaScript. Пособие построено в практическом ключе, когда в отдельных главах осуществляется поэтапная разработка различных элементов игры. В пособии не выделена отдельная глава для изучения основ JavaScript, его элементы разбираются в процессе изложения основного материала с объяснением базовых особенностей. Читателю будет легче воспринимать учебное пособие, если он уже владеет JavaScript, но достаточно владеть любым языком программирования. Учебное пособие предназначено для бакалавров и магистров, обучающихся по направлениям «Программная инженерия» и «Прикладная математика и информатика», а также может быть полезно широкому кругу читателей, интересующихся разработкой современных интернет-приложений. 
 
 #book@php2all #js@php2all #gamedev@php2all 
 
 (литература по программированию https://vk.com/php2all/book )",pass
83,,pass
